keyword,link,crawling
구두,/app/product/detail/896566/0,no
구두,/app/product/detail/738784/0,no
구두,/app/product/detail/606324/0,no
구두,/app/product/detail/589285/0,no
구두,/app/product/detail/894059/0,no
구두,/app/product/detail/890830/0,no
구두,/app/product/detail/464519/0,no
구두,/app/product/detail/433790/0,no
구두,/app/product/detail/418726/0,no
구두,/app/product/detail/278740/0,no
구두,/app/product/detail/831599/0,no
구두,/app/product/detail/474143/0,no
구두,/app/product/detail/174557/0,no
구두,/app/product/detail/436342/0,no
구두,/app/product/detail/839857/0,no
구두,/app/product/detail/644081/0,no
구두,/app/product/detail/607307/0,no
구두,/app/product/detail/564717/0,no
구두,/app/product/detail/447316/0,no
구두,/app/product/detail/409021/0,no
구두,/app/product/detail/595211/0,no
구두,/app/product/detail/564716/0,no
구두,/app/product/detail/476053/0,no
구두,/app/product/detail/429492/0,no
구두,/app/product/detail/242476/0,no
구두,/app/product/detail/464268/0,no
구두,/app/product/detail/440135/0,no
구두,/app/product/detail/436343/0,no
구두,/app/product/detail/351421/0,no
구두,/app/product/detail/961454/0,no
구두,/app/product/detail/944558/0,no
구두,/app/product/detail/608933/0,no
구두,/app/product/detail/608352/0,no
구두,/app/product/detail/564718/0,no
구두,/app/product/detail/127080/0,no
구두,/app/product/detail/918418/0,no
구두,/app/product/detail/804486/0,no
구두,/app/product/detail/804482/0,no
구두,/app/product/detail/608251/0,no
구두,/app/product/detail/1021359/0,no
구두,/app/product/detail/1020993/0,no
구두,/app/product/detail/1003652/0,no
구두,/app/product/detail/947329/0,no
구두,/app/product/detail/927640/0,no
구두,/app/product/detail/845229/0,no
구두,/app/product/detail/626641/0,no
구두,/app/product/detail/52664/0,no
구두,/app/product/detail/158624/0,no
구두,/app/product/detail/890811/0,no
구두,/app/product/detail/605288/0,no
구두,/app/product/detail/605286/0,no
구두,/app/product/detail/538488/0,no
구두,/app/product/detail/436452/0,no
구두,/app/product/detail/949755/0,no
구두,/app/product/detail/933298/0,no
구두,/app/product/detail/927454/0,no
구두,/app/product/detail/901644/0,no
구두,/app/product/detail/900216/0,no
구두,/app/product/detail/163043/0,no
구두,/app/product/detail/158630/0,no
구두,/app/product/detail/947385/0,no
구두,/app/product/detail/839810/0,no
구두,/app/product/detail/774621/0,no
구두,/app/product/detail/767601/0,no
구두,/app/product/detail/703091/0,no
구두,/app/product/detail/626639/0,no
구두,/app/product/detail/441261/0,no
구두,/app/product/detail/181917/0,no
구두,/app/product/detail/163358/0,no
구두,/app/product/detail/916053/0,no
구두,/app/product/detail/915103/0,no
구두,/app/product/detail/808780/0,no
구두,/app/product/detail/768863/0,no
구두,/app/product/detail/731236/0,no
구두,/app/product/detail/663155/0,no
구두,/app/product/detail/552709/0,no
구두,/app/product/detail/290241/0,no
구두,/app/product/detail/158646/0,no
구두,/app/product/detail/96547/0,no
구두,/app/product/detail/933724/0,no
구두,/app/product/detail/61283/0,no
구두,/app/product/detail/542550/0,no
구두,/app/product/detail/447263/0,no
구두,/app/product/detail/422932/0,no
구두,/app/product/detail/326143/0,no
구두,/app/product/detail/313354/0,no
구두,/app/product/detail/179309/0,no
구두,/app/product/detail/136455/0,no
구두,/app/product/detail/131029/0,no
구두,/app/product/detail/113556/0,no
구두,/app/product/detail/964524/0,no
구두,/app/product/detail/933721/0,no
구두,/app/product/detail/831592/0,no
구두,/app/product/detail/831571/0,no
구두,/app/product/detail/804484/0,no
구두,/app/product/detail/785345/0,no
구두,/app/product/detail/731274/0,no
구두,/app/product/detail/719912/0,no
구두,/app/product/detail/685186/0,no
구두,/app/product/detail/671834/0,no
구두,/app/product/detail/644110/0,no
구두,/app/product/detail/636472/0,no
구두,/app/product/detail/61281/0,no
구두,/app/product/detail/492841/0,no
구두,/app/product/detail/256990/0,no
구두,/app/product/detail/203509/0,no
구두,/app/product/detail/158652/0,no
구두,/app/product/detail/150911/0,no
구두,/app/product/detail/127120/0,no
구두,/app/product/detail/126847/0,no
구두,/app/product/detail/126648/0,no
구두,/app/product/detail/990662/0,no
구두,/app/product/detail/968580/0,no
구두,/app/product/detail/949752/0,no
구두,/app/product/detail/884252/0,no
구두,/app/product/detail/845235/0,no
구두,/app/product/detail/839818/0,no
구두,/app/product/detail/733481/0,no
구두,/app/product/detail/635925/0,no
구두,/app/product/detail/628683/0,no
구두,/app/product/detail/50803/0,no
구두,/app/product/detail/48885/0,no
구두,/app/product/detail/476057/0,no
구두,/app/product/detail/464263/0,no
구두,/app/product/detail/464261/0,no
구두,/app/product/detail/447265/0,no
구두,/app/product/detail/436744/0,no
구두,/app/product/detail/436738/0,no
구두,/app/product/detail/436715/0,no
구두,/app/product/detail/321306/0,no
구두,/app/product/detail/303530/0,no
구두,/app/product/detail/181911/0,no
구두,/app/product/detail/158657/0,no
구두,/app/product/detail/155402/0,no
구두,/app/product/detail/126857/0,no
구두,/app/product/detail/113551/0,no
구두,/app/product/detail/949963/0,no
구두,/app/product/detail/938600/0,no
구두,/app/product/detail/932971/0,no
구두,/app/product/detail/890814/0,no
구두,/app/product/detail/855321/0,no
구두,/app/product/detail/845208/0,no
구두,/app/product/detail/839843/0,no
구두,/app/product/detail/839800/0,no
구두,/app/product/detail/815057/0,no
구두,/app/product/detail/768795/0,no
구두,/app/product/detail/755199/0,no
구두,/app/product/detail/731269/0,no
구두,/app/product/detail/705615/0,no
구두,/app/product/detail/635799/0,no
구두,/app/product/detail/608255/0,no
구두,/app/product/detail/502637/0,no
구두,/app/product/detail/464262/0,no
구두,/app/product/detail/452537/0,no
구두,/app/product/detail/440134/0,no
구두,/app/product/detail/424901/0,no
구두,/app/product/detail/351424/0,no
구두,/app/product/detail/300426/0,no
구두,/app/product/detail/256992/0,no
구두,/app/product/detail/158636/0,no
구두,/app/product/detail/133231/0,no
구두,/app/product/detail/126826/0,no
구두,/app/product/detail/126599/0,no
구두,/app/product/detail/965890/0,no
구두,/app/product/detail/953977/0,no
구두,/app/product/detail/949754/0,no
구두,/app/product/detail/949536/0,no
구두,/app/product/detail/933507/0,no
구두,/app/product/detail/929554/0,no
구두,/app/product/detail/927840/0,no
구두,/app/product/detail/915140/0,no
구두,/app/product/detail/915045/0,no
구두,/app/product/detail/910658/0,no
구두,/app/product/detail/890813/0,no
구두,/app/product/detail/888912/0,no
구두,/app/product/detail/599499/0,no
구두,/app/product/detail/888910/0,no
부츠,/app/product/detail/668697/0,yes
부츠,/app/product/detail/595737/0,yes
부츠,/app/product/detail/451851/0,no
부츠,/app/product/detail/665782/0,no
